Comment,Lang,Tags confirmed,Model function,Tags
"Je souhaiterai savoir si je suis en statut implicite, ai-je toujours droit à la PCU ? Merci",FR,checked,Business,CERB
I'm looking for EI application form.,EN,checked,Business,EI and internet reporting
"OAS GIS CAMPAIGN PROMISE FOR 75+ OF $729. PER YEAR/2020
AND CAMPAIGN PROMISE OF $747. PR YR 2015
NEVER RECEIVED EITHER !  HOW COME?",EN,checked,Business,Seniors (including OAS / GIS / CPP)
Self employed worker,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
"Getting the most from Your Trip To Menorca

With a population of about 82 thousand Spanish speaking <a href=https://meetspanishwomen.wixsite.com/meetspanishwomen/post/spanish-women-v-s-american-women>spanish beauty</a> people, You sure to find numerous types of interests to enjoy should you decide",EN,,Business,
"bond in korea

Newlywed women imagine that if they touch the statues long, nice, Phallic having a look noses, will have them blessed with fertility. It topped the charts in 30 countries just about. President Barack Obama and British pm David Cameron have mimicked the dance. The song refers back to",EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Where is rent support for individuals,EN,,Business,
Section for Non-Profit organisations,EN,checked,Business,Nonprofit / community support
Why cant I get help I have called 6 different numbers all I want is the form to fill out for essential workers bonus . Why is this so difficult for your team to send me,EN,checked,Business,Essential services and frontline workers
"je cherche plus de détail sur le prêt d'urgence de 40 000 $, mais la page est indisponible",FR,checked,Business,CEBA
"What parents rights are when school goes back and children are sent home to self isolate, can you be fired?
If you have the ability work from home should you or does the employer have the right to make you take vacation time? ",EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
when i applyed for E.I. BENTIFITS  I STATED REGULAR BENTIFITS AND WAS LAYED OFF DUE TO LACK OF WORK AS THIS IS A SEASONAL JOB WHY I AM I GETTING THE COVID BENTIFITS,EN,checked,Business,EI and internet reporting
quoi faire si un employer ou je travail  est positf et que la compagnie nous dit quil na pas de danger,FR,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
Why is it taking so long to get a response about my ceba application,EN,checked,Business,CEBA
"We have six daycares. Three were open before shut down and three more opened after reopening. I need to talk to someone about CEWS.
",EN,checked,Business,CEWS
"Quel numéro de téléphone je peux appeler pour me faire aider avec le prêt pour les entreprise?
####@####.####",FR,checked,Business,CEBA
"no contact information to speak to someone about the status of my CEBA application
",EN,checked,Business,CEBA
I need clarification on which documents are needed for upload,EN,checked,Business,CEBA
"In tested at mortuary real estate market stays on together with ellie Jong Nam

""We was confident ended up effort with someone to enter the hospital mortuary. We had to bring best practices. we won't offer anyone to tamper of this mortuary, Inspector well-known to police force Khalid Abu Bakar dec",EN,,Business,
"number of people permitted in hair salons in Ontario,are we allowed to  have people  in the waiting area? our store size is 1200sq feet.",EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
"I earn 1000 or a bit more, but can't make my payments. What can i do?",EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Toll free number,EN,checked,Business,Contact someone / get address
test LS ERP,EN,,Business,
"test LS2
",EN,,Business,
"I can't find a form to apply for Canada’s COVID-19 Economic Response Plan for beef farmers
",EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Je voudrais savoir s'il existe une aide pour les personnes qui n'ont pu occuper leur maison a temps car les travailleurs de la construction ont arrêté de travailler ce qui a retardé la prise de possession de la maison et on a du louer pour abriter notre famille.,FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
When do we receive the $600 disability payment,EN,checked,Business,Disabilities allowance
"I need to get a form with the weeks left in my ei claim i have nowhere online to find it
",EN,checked,Business,EI and internet reporting
"Where can I find a report on how much I received for the CERB payment?
",EN,checked,Business,CERB
"Where do I upload my documentation relating to my CEBA application?
",EN,checked,Business,CEBA
Règles nouveau programme après PCU ?,FR,checked,Business,CERB
Property with tenants. What is the latest policy to evict existing tenants?,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
"Would the replacement of a damaged building be classified as an expense under the interest free loan
Do you have to supply invoices prior to applying ?",EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
"Would the replacement of a damaged building be classified as an expense under the interest free loan
Do you have to supply invoices prior to applying ?",EN,,Business,
"My landlord does not want to practice with government‘ve ra program.
How can I get help from ve ra?",EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
"My landlord does not want to practice with government‘ve ra program.
How can I get help from ve ra?",EN,,Business,
Let me speak to a rep,EN,checked,Business,Contact someone / get address
"usa Single sexually active men to you're wedding european teleshopping brides-to-be

here ruskies services of a relationship will help you the types as well as the girls come to be recorded with a personal summary. then you definitely is going to glimpse for one the other and be given telephone or",EN,,Business,
Déduction des frais de travail à domicile,FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
You left out trucking companies,EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Is regular EI payments different from the CERB financial support?,EN,checked,Business,EI and internet reporting
I work contract,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
I'm searching to try get my 4 digit code to do my online reporting,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
"J’ai un compte pour mon entreprise mais ce n’est pas un compte d’affaire!c’est la seule raison pour lequel je n’ai pas droit au prêt D’urgence de 40, 000,je trouve ça très injuste???",FR,checked,Business,CEBA
"precisely why online dating sites is profitable

the crucial reason online dating services is working is on account of the vast number of qualified for single people which are online. if you can't find what you look for on a single web site, simply move on to another location website page.

if y",EN,,Business,
"Single Women relationships

Your attention to how you really treat not only your date but others as well. How you treat others will be observed at close range and scrutinized by other singles, If they notice that you are treating people with respect and dignity dating websites online then your pot",EN,,Business,
Rent,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
The CEBA website is not working.  I've tried opening it in various browsers and from various links...,EN,checked,Business,CEBA
I would like information about rent payment assistance.,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
I am a veteran and I have not seen anything in this for us.. yet again we are forgotten about.,EN,checked,Business,Audiences (Veterans / Indigenous people / Industry)
I would like information about rent payment assistance.,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
expiry date for  CIBA  application ?,EN,,Business,
expiry date for  CIBA  application ?,EN,,Business,
expiry date for  CIBA  application ?,EN,checked,Business,CEBA
Je veux avoir l'assurance que personne ne s'est servi de mes infos personnelles pour demander la PCU (ont essayé de le faire avec mon dossier ARC à partir d'un compte Tangerine) car j'ai un compte Desjardins.,FR,checked,Business,CERB
CEBA link does not work,EN,checked,Business,CEBA
"Missing cheque for July 30,2020",EN,checked,Business,Contact someone / get address
"Besoin d'une précision qui n'est pas là. je vais appeler
",FR,checked,Business,Contact someone / get address
test,EN,,Business,
Quels sont les détails pour la subvention aux pêcheurs de 10 000$,FR,checked,Business,Employees / job seekers / seasonal / gig / self-employed
are foreign consultants looking to purchase cattle - are they required to self isolate for 14 days or is the exempt as this falls under essential services,EN,checked,Business,Essential services and frontline workers
My situation is not covered. Have you thought about the hardship encountered by people who had to go bankrupt?,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
"handbags league going bankrupt

greater toronto area my Canadian men and women hockey little league might discontinue shops on will be able to 1, your little league recorded friday.

A week following the Calgary Inferno picked up the category tournament additionally hoisted the Clarkson hole tro",EN,,Business,
when I click on the link to CEBA it tells me the ip address could not be reached.,EN,checked,Business,CEBA
I am looking for the sanitary regulations for campgrounds. Where could I find it?,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
how to apply for ei,EN,checked,Business,EI and internet reporting
Im need the phone number to call for CERB,EN,checked,Business,Contact someone / get address
cssg info!!??,EN,checked,Business,Students / CESB / CSSG
i need information about how i can volunteer in canada as an international help assistant.,EN,checked,Business,Students / CESB / CSSG
Adresse pour envoyer documents PUEC,FR,checked,Business,Contact someone / get address
want to get in to update this months CERB,EN,checked,Business,CERB
"Need to talk to a CRA representative on a 800 number regarding confusion as to receiving the student



Need to talk to a CRA agent about the Emergency relief plans for a post secondary student with a legal disability and damage done to a start up business",EN,checked,Business,Contact someone / get address
CEBA  application,EN,checked,Business,CEBA
There is nothing on here for people that are on Ontario disability...I guess we're left out again !,EN,checked,Business,Disabilities allowance
"soutien travailleur autonome artiste
",FR,checked,Business,Employees / job seekers / seasonal / gig / self-employed
Could not find how long CERB is extended for,EN,checked,Business,CERB
"On Tuesday August 4th, sometime in the morning, I received a phone call from someone at Service Canada. I wanted to talk with them but I was out and I forgot my cell phone.  Could someone please phone me ASAP. The number is  # ### ### ###. Thank You! Brian Crispin",EN,checked,Business,Contact someone / get address
Definition of a deep cleaning for COVID 19,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
I had travelled out of Canada and got stuck with this Covid issues. No flights. No income.  Tried to claim the Covid relief fund to get through. There is no information on this website for people who are stuck outside Canada with no income.  Please advise,EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
Jai besoin d’une aide financière pour les saisi de mon chomage allocation familiale tvq et tps car on a saisi mes revenue pour cause de pension alimentaire arreage que je ne suis meme pas supposé payé mais je n’ai plus la force de me battre contre mon ex conjoint qui me dois lui meme une pension ali,FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
"Lacking support for small businesses, I don't need $40,000 in loans. I need $10,000. The CEBA is too much trouble for me.",EN,checked,Business,CEBA
Essential Health Care Workers Program Bonus,EN,checked,Business,Essential services and frontline workers
"Job pockets

necessities: responsible for all trends web page, writing articles, helping to make, incorporate keywords, coupled with social networks. this one publisher will also cooperate thanks to promoting firms developing consistent topical cream preand cultivation directors report content mat",EN,,Business,
i wish I knew when I will receive this payment.  I am relocating from Sault Ste. Marie to Ottawa and I need the money.,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
I applied for emergency loan to fly back home from other country and promise to pay back loan of as 2500 Canadian. i don't know how and who?,EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
Are seasonal workers who did not receive ei because not enough hours elligeable for cerb and did not get their job back because not recalled,EN,checked,Business,"CERB, Employees / job seekers / seasonal / gig / self-employed"
How do I cancel EI benefit has I don’t need assistance .,EN,checked,Business,EI and internet reporting
I heard there is payments for essential workers that worked through the shut down is this correct ? If so where would I find that information?,EN,checked,Business,Essential services and frontline workers
phone number to call,EN,checked,Business,Contact someone / get address
can you work while receiving  cerb,EN,checked,Business,CERB
"I submit a request on july 17, I did'nt received any information, possible to have a phone number to contact for help, thanks",EN,checked,Business,Contact someone / get address
Comment rejoindre par téléphone pour le soutien aux entreprises,FR,checked,Business,Contact someone / get address
"Under CEWS should the employer be rehiring me for 35 hours (full time), the employer pay 25% & govt pays 75%.  So that the employee works full time.  Or is the employee hiring me back 3/4 time and the govt pays the full 75% no costs to employer?",EN,checked,Business,CEWS
"Little 'p' politics

Big P politics comes with numerous P's. you have Power, advantage, Partisanship, Piety, Pandering, prejudice, Pomp in addition to the Puffery. Congress and indigenous elections. It's where it's not only important to always win, But to make sure your opponents always lose.

S",EN,,Business,
"looking for application for fish harvester Benefit & Grant.
",EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
"looking for application for fish harvester Benefit & Grant.
",EN,,Business,
My former employer paid me $1000 that i never rec'd until after I had reported my earnings for the period July 12 to 25. How do I correct this. ####@####.####/# ### ### ###,EN,checked,Business,Contact someone / get address
"online dating sites summary guidance film

New sibel magazine poll on <a href=http://www.love-sites.com/4-first-date-questions-to-ask-chinese-women-before-marriage/>how to tell if a vietnamese girl likes you</a> impeachment disagrees with like as a rule true person chief executive TrumpA new cater",EN,,Business,
Is an employer required to pay an employee any amount re: covid pay ie: employee misses two weeks pay due to covid symptoms,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
I am looking for clarity for student volunteer grant .,EN,checked,Business,Students / CESB / CSSG
Comment faire pour remettre un trop reçu de PCU ?,FR,checked,Business,CERB
business rent subsidy for august 2020....where do i find,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
"Whom can I contact for application for the CEBA program?
",EN,checked,Business,CEBA
We did not receive financial support for CEWS.  We've had 80% cancelations in our business due to COVID.   Can I ask why have we not received this support?,EN,checked,Business,CEWS
"I need to upload documents  for CEBA
How do I get into this site",EN,checked,Business,CEBA
Disability 1time payment help three covid,EN,checked,Business,Disabilities allowance
"Après avoir compléter les 4 étapes de demande de prêt de 40,000.00
l'étape 5 de soumettre ne fonctionne pas.",FR,checked,Business,CEBA
I want to apply for regular u I bennifit,EN,checked,Business,EI and internet reporting
Looking for help with utility bills.,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
I was looking for how to apply the money or contact number to call,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
is there a garnishment withholding relief program for employee?,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
is there a garnishment withholding relief program for employee?,EN,,Business,
is there a garnishment withholding relief program for employee?,EN,,Business,
non-profit in a city owned facility requires rent assistance...!,EN,checked,Business,Nonprofit / community support
GAINS? Could not find any info on this programs?,EN,checked,Business,Feedback unclear
Looking for contact number for ceba loan to find out status of application,EN,checked,Business,"Contact someone / get address, CEBA"
"I have a barber shop that is on lease.  my owners have not received any response from government about 75% rent relief.  my shop was 100% closed for 2 months
",EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
Looking for benifits for relocation and hoising,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Landlord to tenant subsidy commercial,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
If a student is receiving CESB and took a part time job and worked-extra shifts  because of short workers had an income for that month 1500 do they have to pay back full $1250 back,EN,checked,Business,Students / CESB / CSSG
"Je travail sur appel est ce que j'ai le droit à une subvention ?
",FR,checked,Business,"Individual support (help finding support / other benefits / personal finances), Employees / job seekers / seasonal / gig / self-employed"
hello my name is paul hancock i live in guelph ont ####@####.#### i have applyed for help at the start of the out break and have not received anything yet i have sence been removed from my apt and been moving  around aimlessley was wounding if someone could help please,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
caring for a spouse with alzheimers and trying to run a small farm.,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
"Bikini courting web

Bikini <a href=https://russianwomendate.weebly.com/>ukraine single woman</a> New Zealand adult dating sites are free, So you got you win! On our free dating site we glad propose the prettiest women and men <a href=https://russiangirldating.wordpress.com/2019/06/19/to-know-if-t",EN,checked,Business,
"take advantage of the Top 3 biggest dividend having to supplies In spanish language demand

spain is also fourth largest european region the country in order to human population together with real estate market dimensions. southern spain gives this two way look versus option traders as either side",EN,checked,Business,
"Delgani chain Quartet

A winter season ADVISORY IS simply by means of 4 pm this afternoon upwards 4 wednesday the towards the south middle or flows, THE northern or cascades, their SISKIYOU mountain tops, n. and thus far east KLAMATH nation, and even north western bay nation.A winter weather ADVIS",EN,checked,Business,
Found it,EN,checked,Business,
How do I set the app to alert me when near some one with covid 19,EN,checked,Business,Health (Masks and face coverings / covid app / rule breaking / permissible activities)
GST EMERGENCY FUNDS,EN,checked,Business,Taxes (Income/ GST / HST)
"The government is producing the biggest con job of the last 100 years. There has been absolutely no talk of helping the disabled, or as I refer to it as the incidious  holocaust of the disabled, Trudeau  you are a truly disgusting traitor.",EN,checked,Business,Disabilities allowance
When can I apply for the month of august,EN,checked,Business,CERB
"hi, the money for people between the age of 60-64 isthis still avavailable at this time?



",EN,checked,Business,Seniors (including OAS / GIS / CPP)
I need to find a company that will convert VHS to digital,EN,checked,Business,
Type 1 diabetic returning to work,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
If a company has an employee that tested positive who has to be notified.  This is a car dealership in Newmarket,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
We are small business owns couple of properties and tenant is saying they won’t pay rent at all and asking us to start the eviction process. How do we overcome our lost income and pay for his stay in our property,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
"  quel date va durer le montant du 2000
",FR,checked,Business,CERB
CERB payments stop coming. Filed the reports every two weeks  and I haven't recieved any payments for the two (2 week report) that I filed.,EN,checked,Business,EI and internet reporting
"what is the phone number to apply for covid 19
",EN,checked,Business,Contact someone / get address
"I want to get direct deposit for cerb cra
",EN,checked,Business,"CERB, Direct deposit and banking"
When is the government sending out the one time payment to individuals with disabilities?,EN,checked,Business,Disabilities allowance
I am a foster parent and my child has aged out..I can't get another one because of Covid..where can I apply for help?,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Rien pour les OSBL.  Nous sommes toujours fermé.,EN,checked,Business,Nonprofit / community support
sorry was just wondering when the august rent relief will be available,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
"I recently applied for the CECRA
I have received an email saying to complete  the approval process I need to supply a two pieces of ID and a blank cheque , which I did with the original application.  Is this true.  I am nervous about filling providing this info in case of fraud",EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
EI application,EN,checked,Business,EI and internet reporting
"Reapply for the CERB
",EN,checked,Business,CERB
CEBA Status of application phone number,EN,checked,Business,CEBA
"How the funds are shared to each First Nation Rez and Urban Rez,who is handles the funds? And how much to each Reserves? Thank You,",EN,checked,Business,Audiences (Veterans / Indigenous people / Industry)
"je veux savoir comment s'applique les changements de calcul de SSUC à partir du 17 juillet.
pour être automatiquement éligible aux périodes subséquentes malgré que la baisse de revenu n'atteint pas 30%  est-ce que c'est à partir de la période 1 seulement ou à partir d'une période quelconque d'admis",FR,checked,Business,CEWS
Info remboursement du pret urgence pour personnes à l'étranger Covid-19,FR,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
"You’ve changed all the options. How do I get into my CERB docs, correspondence and deposit details?",EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
Trying to do my internet reporting  for CERB,EN,checked,Business,EI and internet reporting
I cannot find out if there is funds for COVID sanitation products,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
Hi recently went back to work after maternity but my  hours have been significantly reduced,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
I’m looking for a contact number or person to find out how my business gets the information needed to apply for the essential workers benefits for my employees. My business is in the health services sector,EN,checked,Business,Essential services and frontline workers
"Est-ce que les vacances sont payées si on part voir la famille.je travaille mais comme je suis immigrante reçue,mes vacances ne sont pas payées.
",FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
If my income has changed due to a move and health and my child moved and I am on income assistant and receive 450 a month that’s not even enough to pay rent do I qualify for creb,EN,checked,Business,CERB
"The companies that are active as an importer of PPE, as an essential product to help Canadians, has no support to get the products inside the Canada",EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Home repairs program,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
"Trying to find out the status of my claim
",EN,checked,Business,Contact someone / get address
The website to apply for small business loan,EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
I want to apply for EI,EN,checked,Business,EI and internet reporting
Fraudulent emergency relief claims tip line.,EN,checked,Business,CERB
continuer a recevoir l'aide PCU,FR,checked,Business,CERB
"Poetry within Lewiston Mills of 1909

during the early twentieth century, Thousands of children worked in Maine creating industries in textile mills, Shoe providers, marble quarries, plus sardine canneries. These children faced dangerousworking discomforts, Worked extended hours, And missed out on",EN,checked,Business,
"State Licensing infractions

Rappongi Relaxation Parlor is located in 350 Ward Avenue in the heart of Honolulu's busy shopping and dining district

BY MALIA ZIMMERMAN AND JIM DOOLEY Jana was 15 years old when her neighbor and friend convinced her as being a prostitute.

The stunning young girl",EN,checked,Business,
"was on E.I(CERB)  got new job ,then got laid off ,do I continue to fill out reports ,on this or what do I do",EN,checked,Business,EI and internet reporting
Je ne suis pas capable de fermer ma session et j’ai terminé,FR,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
cews,EN,checked,Business,CEWS
Nous sommes un OBNL(chevaliers de colomb) et nous avons besoin de soutien financier pour la réouverture de notre local.,FR,checked,Business,Nonprofit / community support
