Problem Details,Date Entered,group
does it have pencilian in it,2020-12-11,does it have pencilian in it
I was looking for what was in the vaccine ...not one word about what is actually in the vaccine showed up,2020-12-11,What is in the vaccine
What is the vaccine made of?,2020-12-11,Where is the vaccine made???
Pfizer President interview,2020-12-11,What country makes pfizer vaccine
Details regarding recipients who have shellfish allergies or anaphylactic reactions to medication,2020-12-11,allergic reaction.
"Just wondering if people with CKD are more vulnerable to allergic or other reaction, given the salt, phosphorous and potassium levels.",2020-12-11,allergic reaction.
If it's a live virus used in the vaccine can someone on certain medications or health issues pick us the virus from the person who was innoculated?,2020-12-11,looking for a list of ingredients used in the vaccine to see if I may be allergic to it
Vaccine safe for pregnancy,2020-12-11,Vaccine safe for pregnancy
Will this experimental vaccination cause less deaths or hospitalizations,2020-12-11,Will this experimental vaccination cause less deaths or hospitalizations
I want to know what is in the vaccine - I want an ingredient list.,2020-12-11,What is in the vaccine
I have RA. That a contraindication for the vaccine?,2020-12-11,I have RA. That a contraindication for the vaccine?
Im looking for allegy triggers ( contents/ingedients) for covid 19 vaccine,2020-12-11,Ingredients list for covid -19 vaccine
I want to read the ingredients of the Pfizer vaccine,2020-12-11,I am looking for the ingredients of the covid vaccine
Please list the known side effects,2020-12-11,List of side effects
What is it made from?,2020-12-11,Where is it manufactured
I am looking for the ingredients of the covid vaccine,2020-12-11,I am looking for the ingredients of the covid vaccine
Traditional vaccine antigen is prepared externally and injected. This in turn provokes lymphocytic response and antibodies. Now we are injecting RNA code to start new antigen production in ourselves. Quite a leap. Once started how do u stop it ?.,2020-12-11,when will the vaccination of seniors (over 80) start
When is it going to be first administered to the general public?,2020-12-11,where do i go to get the vaccine
Ingredients list,2020-12-11,Ingredients list for covid -19 vaccine
I have a dependant who had long term GBS can they be given you COVID 19 vaccine?,2020-12-11,should someone who had covid before take a vaccine
Actual ingredients in vaccine,2020-12-11,Actual ingredients in vaccine
Serious side effects of the vaccine were not listed.,2020-12-11,List of side effects
What country makes pfizer vaccine,2020-12-12,What country makes pfizer vaccine
What are the side effects?,2020-12-12,What are the side effects?
"Is it save for people with a low immunity like from transplants, COPD, Diabetes",2020-12-12,Reactions for people with auto-immune conditions
Is there a chip in the vaccine,2020-12-12,What is in the vaccine
"Dr. said the ingredients would be on the website. Can't see that info.
 How are we supposed to know about possible allergens?",2020-12-12,I want to know the ingredients in the Covid-19 vaccine.
Where is the vaccine made???,2020-12-12,Where is the vaccine made???
what is the vaccine made from,2020-12-12,Where is the vaccine made???
"I am looking for a powerpoint slide deck from Dec 9, 2020 done by Health Canada on the Pfizer-BioNTech Covid-19 vaccine",2020-12-12,I am looking for the ingredients of the covid vaccine
what is in the vacine,2020-12-12,What is in the vaccine
Looking for actual list of what’s in Covid vaccine,2020-12-12,Looking for actual list of what’s in Covid vaccine
What is in the vaccine,2020-12-12,What is in the vaccine
There is no Information about the potential future side effects if you medically can encourage you to do messenger RNA,2020-12-12,"There is no information provided for what people with immuno suppressed conditions should do… Transplant recipients, lupus, diabetics, etc. these people would die if they got Covid… So there is no information telling these people and groups what to do."
I want to see the legally listed potential side effects,2020-12-12,List of side effects
Should you have vaccine if you have been positive for COVID-19,2020-12-12,Can you still get the vaccine if you have been tested positive?
what are the ingredients that they say if you are allergic too you should not get vacanated,2020-12-12,who should not get vacinated
Did not list major side effects,2020-12-12,List of side effects
How long does it last? Can I get it over and over again? Will it be as effective in repeat treatments?,2020-12-12,does it have pencilian in it
Should people with sever allergies take the vaccine?,2020-12-12,Who should not take the vaccine?
Where is COVID 19 vaccine produced by Pfizer,2020-12-12,Where is the vaccine made???
"I was hoping to find an explanation as to why an mRNA vaccine would produce the same side effects as a normal vaccine, despite no injection of the pathogen in the host. Aren't side effects like fever, chills, and tiredness normally an immune system response to the injected pathogen?",2020-12-12,List of side effects
"CTV said Health Canada came out with allergy warnings with the vaccine. I'm looking for that updated information. I've also seen mention it's not recommended for pregnant or breastfeeding women, I'm also not finding this information.",2020-12-12,Is it safe for pregnant women?
Where is it manufactured,2020-12-12,Where is it manufactured
I'm looking for a list of the ingredients to see if I'm allergic to any.,2020-12-12,looking for a list of ingredients used in the vaccine to see if I may be allergic to it
There is news that people with insect bite allergy should not take this. I am a bit worried as I have such a allergy,2020-12-12,Who should not take the vaccine?
Need to know if vaccine would activate shellfish allergy.,2020-12-12,I need to know the contents of the Pfizer vaccine
ingredients in which vaccine is made of,2020-12-12,Which vaccines are mRNA
A list of what allergies can be triggered.,2020-12-12,Looking for actual list of what’s in Covid vaccine
Where is it manufactured?,2020-12-12,Where is it manufactured
What is in the Pfizer Vaccine?! There is no clear answer.,2020-12-12,What is in the vaccine
WHERE is the vaccine MADE? IN Canada? The USA? China?,2020-12-12,Where is the vaccine made???
where are the manufacturing plants?,2020-12-12,Where is it manufactured
"I would like a list of ingredients, chemical compounds, as well as a detailed description of the process it took to create the immunization.",2020-12-12,Need the list of ingredients in the vaccine.
Ingredients list for covid -19 vaccine,2020-12-12,Ingredients list for covid -19 vaccine
"What is in the vaccine, so I can find out if I am allergic.",2020-12-12,What is in the vaccine
Where is it manifactured,2020-12-12,Where is it manufactured
can the pfizer be given to people who have lymphatic leukemia,2020-12-12,"In the section on who will receive the vaccine, there is no mention of people who have underlying health issues but who are under the age of 70."
What is the ingredients?,2020-12-13,What is the ingredients?
Effects on pregnant or planning to be pregnant women and the fetus/infant in utero,2020-12-13,Is it safe for pregnant women?
where is the list of ingredients??,2020-12-13,Need the list of ingredients in the vaccine.
What is in the vaccine for ingredients,2020-12-13,What is in the vaccine
Dose the vaccine have gluten ?,2020-12-13,Ingredients of Covid vaccine I have extensive food intolerances.
Where is the vacine is made,2020-12-13,Where is the vaccine made???
What is Biontech’s main purpose?,2020-12-13,What is the ingredients?
where is the vaccine produced???,2020-12-13,Where is the vaccine made???
What is the vaccine comprised of to know if allergic.,2020-12-13,What is the ingredients?
"Who should not get the vaccine  and why ,,what allergies",2020-12-13,who should not get vacinated
What is the ingredient that would cause anaphylaxis?,2020-12-13,What is the ingredients?
We need to see and have the right to know all the ingredients in this Covid drug by Pfizer,2020-12-13,I want to know the ingredients in the Covid-19 vaccine.
What ingredients are in the vaccine?,2020-12-13,What ingredients are in the vaccine?
I wanted to know the ingredients because I have an allergy and want to get the shot.,2020-12-13,I want to know the ingredients in the Covid-19 vaccine.
what are the adverse side effects? Who specifically should not get this vaccine? What contents in the vaccine should people who use an EpiPen be concerned about?,2020-12-13,What are the side effects?
allergic reactions,2020-12-13,allergic reaction.
What are ingredients,2020-12-13,What are the side effects?
Ingredients of Covid vaccine I have extensive food intolerances.,2020-12-13,Ingredients of Covid vaccine I have extensive food intolerances.
allergic reaction.,2020-12-13,allergic reaction.
Seeking ingredient information to determine allergic warnings,2020-12-13,allergic reaction.
What are the serious side effects,2020-12-13,What are the side effects?
I carry an epi pen because I'm allergic to hornet stings. Does that mean I  can't take the Pfizer vaccine,2020-12-13,I need to know the contents of the Pfizer vaccine
What is in the vaccine ?,2020-12-13,What is in the vaccine
What is in it,2020-12-13,What is in the vaccine
I AM LOOKING FOR A COMPREHENSIVE COMPENDIUM LISTING OF THE COVID 19 VACCINE INFORMATION (INCLUDING THE INGREDIENTS).,2020-12-13,I am looking for the ingredients of the covid vaccine
you state people with allergies should avoid the vaccine ingredients how do I find the ingredients,2020-12-13,What is the ingredients?
My mom is 99 and has been in long term care.  So I imagine she will be among the first.  she usually gets flu shots with no reaction and she has no allergies as far as I know.  are there any  concerns about giving her the civic vacine?,2020-12-13,I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?
Allergic reaction info,2020-12-13,allergic reaction.
"I am allergic to penicillin and am looking to identify, specifically, if this is a potential problem. I heard that the English nurses who experienced a reaction had a similar allergy. You site would benefit form being more specific.",2020-12-13,I am allergic to penicillin will I still be able to get vaccinated
What are the ingredients of the vaccine,2020-12-13,I am looking for the ingredients of the covid vaccine
Vaccine ingredients that may trigger allergic reactions,2020-12-13,allergic reaction.
Whats in the vaccine that could cause an allergic reaction,2020-12-13,allergic reaction.
"Ya left out the part where there's NANO technology that'll track us and link us to a computer. Ya left our the part where our HUMAN DNA is being modified, like a seed! FUCK THAT SHIT!",2020-12-13,The ingredients and process of making the vaccine  was left out I find that to be one of the most important parts and should be added thank you
Allergic reactions to this vaccine?,2020-12-13,allergic reaction.
ingredients in vaccine to check out for allergies,2020-12-13,Actual ingredients in vaccine
We would all like to know if the Government of Canada is making this vaccine mandatory,2020-12-13,I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?
I am trying to find the recommendation for use by individuals with compromised immune systems,2020-12-13,I’m trying to find my results from my COVID test.
Simple name of what is in the drug,2020-12-13,What is in the vaccine
Allergy problems,2020-12-13,Do u take it if u have an allergy
I was expecting to see something about the content that would trigger an allergic reaction.,2020-12-13,allergic reaction.
"It does not mention that the serum is developed in Germany,  why ?",2020-12-13,does it have pencilian in it
looking for ingredients in Pfizer vaccine,2020-12-13,Actual ingredients in vaccine
I have allergies to sea food.  Is this something that I should be concerned about?,2020-12-13,Ingredients of Covid vaccine I have extensive food intolerances.
need to find list of ingredients i.e. am allergic to ciprofloxacin,2020-12-14,Need the list of ingredients in the vaccine.
No information on the components of the Pfizer vaccine,2020-12-14,I need to know the contents of the Pfizer vaccine
looking for a list of ingredients used in the vaccine to see if I may be allergic to it,2020-12-14,looking for a list of ingredients used in the vaccine to see if I may be allergic to it
List of side effects,2020-12-14,List of side effects
I'm looking for the list of ingredients in the vaccine for possible allergens. I'm allergic to shell fish.,2020-12-14,Need the list of ingredients in the vaccine.
Where is the Pfizer vaccine lab located,2020-12-14,Where is the vaccine made???
What the ingredients are in the vaccine,2020-12-14,What ingredients are in the vaccine?
What chemicals/products are in the vaccine.,2020-12-14,What ingredients are in the vaccine?
List of ingredients for allergy puposes,2020-12-14,Need the list of ingredients in the vaccine.
Looking for Ingredients that are in the vaccine,2020-12-14,What ingredients are in the vaccine?
When and where to get vaccinated?,2020-12-14,When and where to get vaccinated?
Looking for the quantity that will be shipped to each province. Can’t find this through your search engine.,2020-12-14,I am looking for the ingredients of the covid vaccine
Where was the vaccine made?,2020-12-14,Where is the vaccine made???
Ingredients of covid vaccine,2020-12-14,Ingredients of Covid vaccine I have extensive food intolerances.
So what is the Allergic reaction to?  What are the ingredients.  You tell people they should not take if allergic.....don't you think they should nknow what is in the vaccine?????,2020-12-14,What is in the vaccine
should someone who had covid before take a vaccine,2020-12-14,should someone who had covid before take a vaccine
Need the list of ingredients in the vaccine.,2020-12-14,Need the list of ingredients in the vaccine.
I am allergic to thimerosol and sulfa eye drops.  Would this vaccine have any product in it that might affect me adversely in this regard.,2020-12-14,What is in this vaccine ???
I want to know the ingredients in the Covid-19 vaccine.,2020-12-14,I want to know the ingredients in the Covid-19 vaccine.
What medication is in Covid 19 vaccine,2020-12-14,Looking for actual list of what’s in Covid vaccine
What are the side effects of the pfizer vaccine?,2020-12-14,What are the side effects?
Who can have the vaccine,2020-12-14,Who can have the vaccine
It doesn't say where you'll be able to get the vaccine (family doctor? pharmacy? local health unit? walmart?),2020-12-14,I am allergic to penicillin will I still be able to get vaccinated
Is the covid-19 vaccine mandatory for seniors in longterm care?,2020-12-14,Is the covid vaccine mandatory for health workers  and long term home residents ?
"how can I ensure that my wife and I are on a list to be vaccinated for Covid 19 and how will we be contacted? My wife is 75 and has severe rheumatoid arthritis and HD. She receives Orencia, an immune suppression infusion. I am76 and am her primary caregiver.",2020-12-14,How will we go about getting vaccinated in BC?
where to go to get vacinated,2020-12-14,where do i go to get the vaccine
if you are on a blood thinner such as plavix can you get the covid 19 vaccine,2020-12-14,Can you still get the vaccine if you have been tested positive?
Can people that have transplants get a vaccine,2020-12-14,I have a transplant. Can I take this vaccine?
Has this vaccine been tested on people with autoimmune diseases,2020-12-14,Can someone with autoimmune disease take this shot? Is it a live vaccine or not? Thank you
Is the vaccine derived from fetal cells at any point of production?,2020-12-14,Where is the vaccine made???
Is the vaccine safe for diabetics,2020-12-14,Vaccine safe for pregnancy
"quantum dot dye
 vaccines originated from abortions trace dna still present",2020-12-14,I am allergic to penicillin will I still be able to get vaccinated
Recommendations for pregnant/ breastfeeding women in regards to covid-19 vaccine,2020-12-15,Is it safe for pregnant women?
How is the mRNA made in large quantities?,2020-12-15,Where is the vaccine made???
How will we go about getting vaccinated in BC?,2020-12-15,How will we go about getting vaccinated in BC?
Can you still develop coronavirus after being vaccinated?,2020-12-15,Can you still get the vaccine if you have been tested positive?
Who gets the vaccine first,2020-12-15,where do i go to get the vaccine
I have a transplant. Can I take this vaccine?,2020-12-15,I have a transplant. Can I take this vaccine?
What country developed Covid 19 vaccine?,2020-12-15,What country makes pfizer vaccine
"Elsewhere I read that 1.8 ml dilution solution is added to vial, and that after dilution the vial contains 5 doses of 0.3 ml each (i.e. 1.5 ml or less than the dilution solution added).  I was seeking to confirm the numbers.",2020-12-15,The ingredients and process of making the vaccine  was left out I find that to be one of the most important parts and should be added thank you
I want to know what legal protection. Pfizer has if I am injuried after receiving the vaccine.,2020-12-15,I want to know the ingredients in the Covid-19 vaccine.
Do we know how long immunity will last once vaccinated? Is it a one and done type of vaccine or yearly?,2020-12-15,How long the vaccine lasts
I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?,2020-12-15,I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?
What medical conditions prevent the use of this vaccine?,2020-12-15,What is in this vaccine ???
How effective is the vaccine?,2020-12-15,Where is the vaccine made???
Is it safe for people who are early in pregnancy or far along in pregnancy and or breastfeeding.,2020-12-15,Is it safe for pregnant women?
"Can you have sections of ""Who should take the vaccine""  and ""who should not take the vaccine""?",2020-12-15,Who should not take the vaccine?
help me,2020-12-15,Something is not right to me here..........??????
I need more details about who was actually included in this trial and who will be allowed to receive the vaccine in round 1. I'm an immunocompromised nurse. I know they didn't include immunocompromised ppl in the trial but what was their definition of that and what that means for vaccine efficacy.,2020-12-15,"In the section on who will receive the vaccine, there is no mention of people who have underlying health issues but who are under the age of 70."
"I want to know whether getting vaccine is mandatory in Ontario or is it optional? If I do not want to get it, will there be any restrictions on my job or travel. I am healthy and my immune system is strong.",2020-12-15,was looking for info on how to get it
What ingredients are in it.,2020-12-15,What ingredients are in the vaccine?
What ingredients are in Covid vacine,2020-12-15,What ingredients are in the vaccine?
What country manufacturers pfizer and moderna covid 19 vaccine,2020-12-15,What country makes pfizer vaccine
Who qualifies to take this vaccine age etc.,2020-12-16,I have a transplant. Can I take this vaccine?
Can a person with a suppressed immune system (kidney transplant patient) have this vaccine?,2020-12-16,I have a transplant. Can I take this vaccine?
just wondering  what the the vaccine is made from what is in it?  what are we putting in our body?,2020-12-16,What is in the vaccine
What drug schedule does the vaccine belong to,2020-12-16,Does the vaccine contain penicillin?
"If I receive the vaccine, will any subsequent rt-PCR tests show a positive result?",2020-12-16,Can you still get the vaccine if you have been tested positive?
Where is it made,2020-12-16,Where is it manufactured
I am looking for any sulphur derivatives,2020-12-16,I am looking for the ingredients of the covid vaccine
I am allergic to penicillin will I still be able to get vaccinated,2020-12-16,I am allergic to penicillin will I still be able to get vaccinated
BREAK IT DOWN SO WE CAN UNDERSTAND IT,2020-12-17,does it have pencilian in it
"Doesn't sound like the vaccine is safe to administer now if ""Health Canada will continue to review all the available safety data as it becomes available.""... and ""We can also ask the manufacturer to submit additional safety information."" Shouldn't that be done BEFORE pushing people to vaccinate?",2020-12-17,Vaccine is safe and effective on what grounds? No supporting evidence.
"ingredients are not listed, nobody want people no complete list of ingredients.",2020-12-17,Need the list of ingredients in the vaccine.
"No specific test data provided to conduct my own analysis and made an informed decision. No reference to inclusion and exclusion criterion in the selection of 'trial' participants, etc etc.",2020-12-17,"There is no information provided for what people with immuno suppressed conditions should do… Transplant recipients, lupus, diabetics, etc. these people would die if they got Covid… So there is no information telling these people and groups what to do."
I wanted to know who shouldn't take this vaccine.,2020-12-17,I have a transplant. Can I take this vaccine?
not enough detail on side effects. how can we make an informed   decision??,2020-12-17,List of side effects
Do u take it if u have an allergy,2020-12-17,Do u take it if u have an allergy
Lack transparency,2020-12-18,Lack transparency
Can someone with autoimmune disease take this shot? Is it a live vaccine or not? Thank you,2020-12-18,Can someone with autoimmune disease take this shot? Is it a live vaccine or not? Thank you
Can ii get the vaccine if I have an overactive immune system and am being treated with steroid,2020-12-18,Do u take it if u have an allergy
Who should not take the vaccine?,2020-12-18,Who should not take the vaccine?
What is the content of the vaccine,2020-12-18,I need to know the contents of the Pfizer vaccine
Contraindications,2020-12-18,I have RA. That a contraindication for the vaccine?
Pregnancy and COVID 19 vaccine,2020-12-19,Vaccine safe for pregnancy
Will the vaccine infertility?,2020-12-19,when will the vaccination of seniors (over 80) start
"I want to know if any of the covid vaccines contain thimerosal, any other form of mercury, aluminum or any other metal.  This article omitted that information.",2020-12-19,I want to know the ingredients in the Covid-19 vaccine.
Does this vaccine have  live covid in it?,2020-12-19,does it have pencilian in it
How long the vaccine lasts,2020-12-19,How long the vaccine lasts
"Looking for how to determine when my 90+ year old parents will qualify, and more specifics as to the queueing process",2020-12-19,Looking for when we will know more about safety for immune compromised people over 55 years old? Should we get the vaccine?
how long a covid 19 vaccine sits on the tale before administering it to a person,2020-12-20,How long the vaccine lasts
covid 19 attacks the endothelium.  Vaccines can cause endothelial dysfunction and this one seems to create a greater inflammatory response than most.  Why is aspirin not being recommended prior to the injection?.,2020-12-20,The ingredients and process of making the vaccine  was left out I find that to be one of the most important parts and should be added thank you
A list of side affects from the clinical trials,2020-12-20,List of side effects
Reactions for people with auto-immune conditions,2020-12-21,Reactions for people with auto-immune conditions
Test from Penny. English DEV page,2020-12-11,Test from Penny. English DEV page
Test from Penny. English LIVE page,2020-12-11,Test from Penny. English LIVE page
I'm trying to understand how the data was analyzed to better compare to the approval process to the MHRA,2020-12-12,I’m trying to find my results from my COVID test.
Why are you giving out the vaccination to the masses when the trial participants have to be monitored for 2 years?,2020-12-12,looking for a list of ingredients used in the vaccine to see if I may be allergic to it
Whatever Is in the vaccin sont haut I know if i havé allergies,2020-12-14,What is in the vaccine
Is the covid vaccine mandatory for health workers  and long term home residents ?,2020-12-14,Is the covid vaccine mandatory for health workers  and long term home residents ?
Are pregnant women authorized to receive it?,2020-12-15,Is it safe for pregnant women?
I am a medical doctor and would like to look at the Pfizer-BioNTech COVID-19 vaccine product monograph please.,2020-12-15,I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?
"Should pregnant ladies, families wanting a child or breastfeeding mothers be taking this vaccine?",2020-12-16,I have a transplant. Can I take this vaccine?
Test from Penny. English DEV page,2020-12-11,Test from Penny. English DEV page
Test from Penny. English LIVE page,2020-12-11,Test from Penny. English LIVE page
"Are masks, social distancing still required for vaccinated people?",2020-12-11,I am allergic to penicillin will I still be able to get vaccinated
What’s in the vaccine?,2020-12-13,What is in the vaccine
Looking for details of methods used in the clinical trial.,2020-12-14,looking for a list of ingredients used in the vaccine to see if I may be allergic to it
Who cannot take the vaccine for COVID 19,2020-12-15,Who cannot take the vaccine for COVID 19
Test from Penny. English DEV page,2020-12-11,Test from Penny. English DEV page
Test from Penny. English LIVE page,2020-12-11,Test from Penny. English LIVE page
